site,location,aru_id,type,date,hour,start,end,scientific_name,common_name,confidence,filepath
ChilcoRanch,1,9807,BARLT,20230602,22,0,3,Branta canadensis,Canada Goose,0.6533,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Chilco Ranch\ARU_9807 (Site 1)\12338915_20230602_YellowRail2023 [+51.86264-123.03040]\00009807_12338915_20230602T220000-0700_REC [+51.86264-123.03040].wav
ChilcoRanch,1,9807,BARLT,20230602,22,3,6,Branta canadensis,Canada Goose,0.8615,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Chilco Ranch\ARU_9807 (Site 1)\12338915_20230602_YellowRail2023 [+51.86264-123.03040]\00009807_12338915_20230602T220000-0700_REC [+51.86264-123.03040].wav
ChilcoRanch,1,9807,BARLT,20230602,22,6,9,Branta canadensis,Canada Goose,0.7313,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Chilco Ranch\ARU_9807 (Site 1)\12338915_20230602_YellowRail2023 [+51.86264-123.03040]\00009807_12338915_20230602T220000-0700_REC [+51.86264-123.03040].wav
ChilcoRanch,1,9807,BARLT,20230602,22,9,12,Branta canadensis,Canada Goose,0.5297,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Chilco Ranch\ARU_9807 (Site 1)\12338915_20230602_YellowRail2023 [+51.86264-123.03040]\00009807_12338915_20230602T220000-0700_REC [+51.86264-123.03040].wav
ChilcoRanch,1,9807,BARLT,20230602,22,63,66,Podilymbus podiceps,Pied-billed Grebe,0.826,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Chilco Ranch\ARU_9807 (Site 1)\12338915_20230602_YellowRail2023 [+51.86264-123.03040]\00009807_12338915_20230602T220000-0700_REC [+51.86264-123.03040].wav
ChilcoRanch,1,9807,BARLT,20230602,22,66,69,Podilymbus podiceps,Pied-billed Grebe,0.9445,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Chilco Ranch\ARU_9807 (Site 1)\12338915_20230602_YellowRail2023 [+51.86264-123.03040]\00009807_12338915_20230602T220000-0700_REC [+51.86264-123.03040].wav
ChilcoRanch,1,9807,BARLT,20230602,22,66,69,Fulica americana,American Coot,0.605,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Chilco Ranch\ARU_9807 (Site 1)\12338915_20230602_YellowRail2023 [+51.86264-123.03040]\00009807_12338915_20230602T220000-0700_REC [+51.86264-123.03040].wav
ChilcoRanch,1,9807,BARLT,20230602,22,69,72,Fulica americana,American Coot,0.9011,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Chilco Ranch\ARU_9807 (Site 1)\12338915_20230602_YellowRail2023 [+51.86264-123.03040]\00009807_12338915_20230602T220000-0700_REC [+51.86264-123.03040].wav
ChilcoRanch,1,9807,BARLT,20230602,22,72,75,Podilymbus podiceps,Pied-billed Grebe,0.8689,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Chilco Ranch\ARU_9807 (Site 1)\12338915_20230602_YellowRail2023 [+51.86264-123.03040]\00009807_12338915_20230602T220000-0700_REC [+51.86264-123.03040].wav
ChilcoRanch,1,9807,BARLT,20230602,22,72,75,Fulica americana,American Coot,0.5017,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Chilco Ranch\ARU_9807 (Site 1)\12338915_20230602_YellowRail2023 [+51.86264-123.03040]\00009807_12338915_20230602T220000-0700_REC [+51.86264-123.03040].wav
