site,location,aru_id,type,date,hour,start,end,scientific_name,common_name,confidence,filepath
HelenaConservation,1,9235,BARLT,20230603,22,33,36,Catharus ustulatus,Swainson's Thrush,0.5989,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Helena Conservation\ARU_9235 (Site 1)\22651545_20230603_YellowRail2023 [+51.81372-121.65128]\00009235_22651545_20230603T220000-0700_REC [+51.81372-121.65128].wav
HelenaConservation,1,9235,BARLT,20230603,22,69,72,Catharus ustulatus,Swainson's Thrush,0.76,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Helena Conservation\ARU_9235 (Site 1)\22651545_20230603_YellowRail2023 [+51.81372-121.65128]\00009235_22651545_20230603T220000-0700_REC [+51.81372-121.65128].wav
HelenaConservation,1,9235,BARLT,20230603,22,75,78,Catharus ustulatus,Swainson's Thrush,0.6662,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Helena Conservation\ARU_9235 (Site 1)\22651545_20230603_YellowRail2023 [+51.81372-121.65128]\00009235_22651545_20230603T220000-0700_REC [+51.81372-121.65128].wav
HelenaConservation,1,9235,BARLT,20230603,22,78,81,Catharus ustulatus,Swainson's Thrush,0.713,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Helena Conservation\ARU_9235 (Site 1)\22651545_20230603_YellowRail2023 [+51.81372-121.65128]\00009235_22651545_20230603T220000-0700_REC [+51.81372-121.65128].wav
HelenaConservation,1,9235,BARLT,20230603,22,81,84,Catharus ustulatus,Swainson's Thrush,0.8777,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Helena Conservation\ARU_9235 (Site 1)\22651545_20230603_YellowRail2023 [+51.81372-121.65128]\00009235_22651545_20230603T220000-0700_REC [+51.81372-121.65128].wav
HelenaConservation,1,9235,BARLT,20230603,22,87,90,Catharus ustulatus,Swainson's Thrush,0.6817,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Helena Conservation\ARU_9235 (Site 1)\22651545_20230603_YellowRail2023 [+51.81372-121.65128]\00009235_22651545_20230603T220000-0700_REC [+51.81372-121.65128].wav
HelenaConservation,1,9235,BARLT,20230603,22,90,93,Catharus ustulatus,Swainson's Thrush,0.6378,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Helena Conservation\ARU_9235 (Site 1)\22651545_20230603_YellowRail2023 [+51.81372-121.65128]\00009235_22651545_20230603T220000-0700_REC [+51.81372-121.65128].wav
HelenaConservation,1,9235,BARLT,20230603,22,195,198,Branta canadensis,Canada Goose,0.5386,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Helena Conservation\ARU_9235 (Site 1)\22651545_20230603_YellowRail2023 [+51.81372-121.65128]\00009235_22651545_20230603T220000-0700_REC [+51.81372-121.65128].wav
HelenaConservation,1,9235,BARLT,20230603,22,267,270,Catharus ustulatus,Swainson's Thrush,0.6154,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Helena Conservation\ARU_9235 (Site 1)\22651545_20230603_YellowRail2023 [+51.81372-121.65128]\00009235_22651545_20230603T220000-0700_REC [+51.81372-121.65128].wav
HelenaConservation,1,9235,BARLT,20230603,22,273,276,Catharus ustulatus,Swainson's Thrush,0.5761,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Helena Conservation\ARU_9235 (Site 1)\22651545_20230603_YellowRail2023 [+51.81372-121.65128]\00009235_22651545_20230603T220000-0700_REC [+51.81372-121.65128].wav
