site,location,aru_id,type,date,hour,start,end,scientific_name,common_name,confidence,filepath
TattonLake,1,6705,Mini,NA,NA,261,264,Porzana carolina,Sora,0.6328,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Tatton Lake\ARU_6705 (Site 1)\Data\RCH2_20230604_223000.wav
TattonLake,1,6705,Mini,NA,NA,72,75,Podilymbus podiceps,Pied-billed Grebe,0.6327,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Tatton Lake\ARU_6705 (Site 1)\Data\RCH2_20230604_224500.wav
TattonLake,1,6705,Mini,NA,NA,18,21,Porzana carolina,Sora,0.9482,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Tatton Lake\ARU_6705 (Site 1)\Data\RCH2_20230604_233000.wav
TattonLake,1,6705,Mini,NA,NA,21,24,Porzana carolina,Sora,0.6703,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Tatton Lake\ARU_6705 (Site 1)\Data\RCH2_20230604_233000.wav
TattonLake,1,6705,Mini,NA,NA,42,45,Porzana carolina,Sora,0.9985,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Tatton Lake\ARU_6705 (Site 1)\Data\RCH2_20230604_233000.wav
TattonLake,1,6705,Mini,NA,NA,63,66,Porzana carolina,Sora,0.9232,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Tatton Lake\ARU_6705 (Site 1)\Data\RCH2_20230604_233000.wav
TattonLake,1,6705,Mini,NA,NA,30,33,Porzana carolina,Sora,0.522,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Tatton Lake\ARU_6705 (Site 1)\Data\RCH2_20230605_001500.wav
TattonLake,1,6705,Mini,NA,NA,246,249,Vireo cassinii,Cassin's Vireo,0.8137,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Tatton Lake\ARU_6705 (Site 1)\Data\RCH2_20230605_043000.wav
TattonLake,1,6705,Mini,NA,NA,3,6,Gavia immer,Common Loon,0.8866,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Tatton Lake\ARU_6705 (Site 1)\Data\RCH2_20230605_044500.wav
TattonLake,1,6705,Mini,NA,NA,6,9,Gavia immer,Common Loon,0.9885,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Tatton Lake\ARU_6705 (Site 1)\Data\RCH2_20230605_044500.wav
TattonLake,1,6705,Mini,NA,NA,21,24,Gavia immer,Common Loon,0.9954,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Tatton Lake\ARU_6705 (Site 1)\Data\RCH2_20230605_044500.wav
TattonLake,1,6705,Mini,NA,NA,75,78,Gavia immer,Common Loon,0.9443,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Tatton Lake\ARU_6705 (Site 1)\Data\RCH2_20230605_044500.wav
TattonLake,1,6705,Mini,NA,NA,90,93,Gavia immer,Common Loon,0.9982,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Tatton Lake\ARU_6705 (Site 1)\Data\RCH2_20230605_044500.wav
TattonLake,1,6705,Mini,NA,NA,9,12,Vireo gilvus,Warbling Vireo,0.7824,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Tatton Lake\ARU_6705 (Site 1)\Data\RCH2_20230605_050000.wav
TattonLake,1,6705,Mini,NA,NA,21,24,Vireo gilvus,Warbling Vireo,0.629,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Tatton Lake\ARU_6705 (Site 1)\Data\RCH2_20230605_050000.wav
TattonLake,1,6705,Mini,NA,NA,24,27,Vireo gilvus,Warbling Vireo,0.5322,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Tatton Lake\ARU_6705 (Site 1)\Data\RCH2_20230605_050000.wav
TattonLake,1,6705,Mini,NA,NA,27,30,Vireo gilvus,Warbling Vireo,0.606,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Tatton Lake\ARU_6705 (Site 1)\Data\RCH2_20230605_050000.wav
TattonLake,1,6705,Mini,NA,NA,30,33,Vireo gilvus,Warbling Vireo,0.5835,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Tatton Lake\ARU_6705 (Site 1)\Data\RCH2_20230605_050000.wav
