site,location,aru_id,type,date,hour,start,end,scientific_name,common_name,confidence,filepath
WatsonCreek,2,7759,Mini,20230604,08,15,18,Leiothlypis celata,Orange-crowned Warbler,0.7954,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_084500.wav
WatsonCreek,2,7759,Mini,20230604,08,30,33,Leiothlypis celata,Orange-crowned Warbler,0.5372,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_084500.wav
WatsonCreek,2,7759,Mini,20230604,08,42,45,Leiothlypis celata,Orange-crowned Warbler,0.7891,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_084500.wav
WatsonCreek,2,7759,Mini,20230604,08,87,90,Leiothlypis celata,Orange-crowned Warbler,0.6494,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_084500.wav
WatsonCreek,2,7759,Mini,20230604,08,99,102,Leiothlypis celata,Orange-crowned Warbler,0.8456,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_084500.wav
WatsonCreek,2,7759,Mini,20230604,08,132,135,Leiothlypis celata,Orange-crowned Warbler,0.6224,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_084500.wav
WatsonCreek,2,7759,Mini,20230604,08,243,246,Vireo gilvus,Warbling Vireo,0.7351,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_084500.wav
WatsonCreek,2,7759,Mini,20230604,08,249,252,Vireo gilvus,Warbling Vireo,0.5476,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_084500.wav
WatsonCreek,2,7759,Mini,20230604,08,276,279,Leiothlypis celata,Orange-crowned Warbler,0.7014,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_084500.wav
WatsonCreek,2,7759,Mini,20230604,08,288,291,Leiothlypis celata,Orange-crowned Warbler,0.896,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_084500.wav
WatsonCreek,2,7759,Mini,20230604,09,18,21,Leiothlypis celata,Orange-crowned Warbler,0.5259,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_090000.wav
WatsonCreek,2,7759,Mini,20230604,09,87,90,Leiothlypis celata,Orange-crowned Warbler,0.6994,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_090000.wav
WatsonCreek,2,7759,Mini,20230604,09,180,183,Leiothlypis celata,Orange-crowned Warbler,0.9632,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_090000.wav
WatsonCreek,2,7759,Mini,20230604,09,204,207,Leiothlypis celata,Orange-crowned Warbler,0.9308,G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_090000.wav
