site,location,aru_id,type,date,hour,start,end,scientific_name,common_name,confidence,filepath
AxeLake,1,9126,BARLT,20230603,22,171,174,Porzana carolina,Sora,0.7634,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T223000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,177,180,Porzana carolina,Sora,0.634,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T223000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,183,186,Porzana carolina,Sora,0.5023,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T223000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,192,195,Porzana carolina,Sora,0.7579,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T223000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,195,198,Porzana carolina,Sora,0.991,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T223000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,201,204,Porzana carolina,Sora,0.9444,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T223000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,204,207,Porzana carolina,Sora,0.5184,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T223000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,210,213,Porzana carolina,Sora,0.9172,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T223000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,213,216,Porzana carolina,Sora,0.7718,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T223000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,216,219,Porzana carolina,Sora,0.9207,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T223000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,219,222,Porzana carolina,Sora,0.6398,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T223000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,222,225,Porzana carolina,Sora,0.8629,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T223000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,228,231,Porzana carolina,Sora,0.5614,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T223000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,231,234,Porzana carolina,Sora,0.8329,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T223000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,237,240,Porzana carolina,Sora,0.9687,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T223000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,246,249,Porzana carolina,Sora,0.8801,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T223000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,264,267,Porzana carolina,Sora,0.9388,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T223000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,267,270,Porzana carolina,Sora,0.864,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T223000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,273,276,Porzana carolina,Sora,0.7762,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T223000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,282,285,Porzana carolina,Sora,0.5011,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T223000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,285,288,Porzana carolina,Sora,0.9561,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T223000-0700_REC [+51.98389-122.06078].wav
AxeLake,1,9126,BARLT,20230603,22,288,291,Porzana carolina,Sora,0.9605,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_9126 (Site 1)\13032539_20230603_YellowRail2023 [+51.98389-122.06078]\00009126_13032539_20230603T223000-0700_REC [+51.98389-122.06078].wav
