site,location,aru_id,type,date,hour,start,end,scientific_name,common_name,confidence,filepath
AxeLake,2,7859,Mini,20230603,22,255,258,Porzana carolina,Sora,0.5435,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230603_223000.wav
AxeLake,2,7859,Mini,20230603,22,258,261,Porzana carolina,Sora,0.5548,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230603_223000.wav
AxeLake,2,7859,Mini,20230603,22,45,48,Porzana carolina,Sora,0.5649,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230603_224500.wav
AxeLake,2,7859,Mini,20230603,22,51,54,Porzana carolina,Sora,0.7002,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230603_224500.wav
AxeLake,2,7859,Mini,20230603,22,120,123,Porzana carolina,Sora,0.702,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230603_224500.wav
AxeLake,2,7859,Mini,20230603,22,150,153,Porzana carolina,Sora,0.5266,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230603_224500.wav
AxeLake,2,7859,Mini,20230604,03,21,24,Porzana carolina,Sora,0.7107,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230604_030000.wav
AxeLake,2,7859,Mini,20230605,22,213,216,Euphagus carolinus,Rusty Blackbird,0.5216,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230605_223000.wav
AxeLake,2,7859,Mini,20230606,01,270,273,Porzana carolina,Sora,0.8813,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230606_010000.wav
AxeLake,2,7859,Mini,20230606,02,33,36,Porzana carolina,Sora,0.9459,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230606_020000.wav
AxeLake,2,7859,Mini,20230606,07,99,102,Vireo gilvus,Warbling Vireo,0.5323,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_1\Axe Lake\ARU_7859 (Site 2)\Data\SMA07859_20230606_070000.wav
