site,location,aru_id,type,date,hour,start,end,scientific_name,common_name,confidence,filepath
BaptisteMeadow,1,9742,BARLT,20230602,22,90,93,Fulica americana,American Coot,0.5444,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230602_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230602T225000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230602,22,117,120,Fulica americana,American Coot,0.6821,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230602_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230602T225000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230603,00,267,270,Fulica americana,American Coot,0.5315,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230603_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230603T001000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230603,00,63,66,Podilymbus podiceps,Pied-billed Grebe,0.7612,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230603_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230603T002000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230603,00,66,69,Podilymbus podiceps,Pied-billed Grebe,0.8681,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230603_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230603T002000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230603,00,69,72,Podilymbus podiceps,Pied-billed Grebe,0.9415,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230603_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230603T002000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230603,00,75,78,Podilymbus podiceps,Pied-billed Grebe,0.9273,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230603_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230603T002000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230603,00,228,231,Porzana carolina,Sora,0.7454,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230603_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230603T002000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230603,00,129,132,Porzana carolina,Sora,0.84,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230603_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230603T003000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230603,00,255,258,Podilymbus podiceps,Pied-billed Grebe,0.6161,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230603_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230603T003000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230603,00,180,183,Porzana carolina,Sora,0.8416,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230603_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230603T005000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230603,01,228,231,Porzana carolina,Sora,0.6603,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230603_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230603T014000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230603,01,216,219,Porzana carolina,Sora,0.8356,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230603_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230603T015000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230603,02,234,237,Podilymbus podiceps,Pied-billed Grebe,0.5069,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230603_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230603T020000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230603,02,240,243,Podilymbus podiceps,Pied-billed Grebe,0.7155,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230603_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230603T020000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230603,02,249,252,Fulica americana,American Coot,0.9255,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230603_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230603T021000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230603,02,219,222,Podilymbus podiceps,Pied-billed Grebe,0.9443,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230603_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230603T022000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230603,02,225,228,Podilymbus podiceps,Pied-billed Grebe,0.9715,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230603_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230603T022000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230603,03,27,30,Porzana carolina,Sora,0.6301,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230603_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230603T030000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230603,03,30,33,Porzana carolina,Sora,0.8768,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230603_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230603T030000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230603,03,162,165,Fulica americana,American Coot,0.5857,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230603_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230603T034000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230603,04,240,243,Fulica americana,American Coot,0.7875,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230603_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230603T044000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230603,05,108,111,Fulica americana,American Coot,0.6849,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230603_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230603T050000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230603,05,111,114,Fulica americana,American Coot,0.7883,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230603_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230603T050000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230603,05,288,291,Empidonax traillii,Willow Flycatcher,0.6751,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230603_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230603T053000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230603,05,18,21,Empidonax traillii,Willow Flycatcher,0.732,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230603_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230603T054000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230603,05,57,60,Empidonax traillii,Willow Flycatcher,0.8488,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230603_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230603T054000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230603,05,189,192,Empidonax traillii,Willow Flycatcher,0.8676,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230603_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230603T054000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230603,05,207,210,Empidonax traillii,Willow Flycatcher,0.612,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230603_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230603T054000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230603,05,225,228,Empidonax traillii,Willow Flycatcher,0.5545,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230603_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230603T054000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230603,05,3,6,Empidonax traillii,Willow Flycatcher,0.9078,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230603_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230603T055000-0700_REC [+51.99530-122.54079].wav
BaptisteMeadow,1,9742,BARLT,20230603,05,21,24,Empidonax traillii,Willow Flycatcher,0.581,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Baptiste Meadow\ARU_9742 (Site 1)\20517647_20230603_YellowRail2023 [+51.99530-122.54079]\00009742_20517647_20230603T055000-0700_REC [+51.99530-122.54079].wav
