site,location,aru_id,type,date,hour,start,end,scientific_name,common_name,confidence,filepath
BigCreekControl,2,9515,BARLT,20230602,23,186,189,Porzana carolina,Sora,0.575,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Big Creek Control\ARU_9515 (Site 2)\12338937_20230602_YellowRail2023 [+51.84263-123.07118]\00009515_12338937_20230602T231000-0700_REC [+51.84263-123.07118].wav
BigCreekControl,2,9515,BARLT,20230602,23,15,18,Porzana carolina,Sora,0.5849,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Big Creek Control\ARU_9515 (Site 2)\12338937_20230602_YellowRail2023 [+51.84263-123.07118]\00009515_12338937_20230602T233000-0700_REC [+51.84263-123.07118].wav
BigCreekControl,2,9515,BARLT,20230602,23,297,300,Porzana carolina,Sora,0.7231,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Big Creek Control\ARU_9515 (Site 2)\12338937_20230602_YellowRail2023 [+51.84263-123.07118]\00009515_12338937_20230602T233000-0700_REC [+51.84263-123.07118].wav
BigCreekControl,2,9515,BARLT,20230603,01,258,261,Porzana carolina,Sora,0.5303,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Big Creek Control\ARU_9515 (Site 2)\12338937_20230603_YellowRail2023 [+51.84263-123.07118]\00009515_12338937_20230603T013000-0700_REC [+51.84263-123.07118].wav
BigCreekControl,2,9515,BARLT,20230604,09,60,63,Vireo gilvus,Warbling Vireo,0.5373,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Big Creek Control\ARU_9515 (Site 2)\12338937_20230604_YellowRail2023 [+51.84263-123.07118]\00009515_12338937_20230604T093000-0700_REC [+51.84263-123.07118].wav
BigCreekControl,2,9515,BARLT,20230604,09,114,117,Vireo gilvus,Warbling Vireo,0.5957,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Big Creek Control\ARU_9515 (Site 2)\12338937_20230604_YellowRail2023 [+51.84263-123.07118]\00009515_12338937_20230604T093000-0700_REC [+51.84263-123.07118].wav
BigCreekControl,2,9515,BARLT,20230604,09,294,297,Vireo gilvus,Warbling Vireo,0.5133,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Big Creek Control\ARU_9515 (Site 2)\12338937_20230604_YellowRail2023 [+51.84263-123.07118]\00009515_12338937_20230604T093000-0700_REC [+51.84263-123.07118].wav
BigCreekControl,2,9515,BARLT,20230604,09,9,12,Vireo gilvus,Warbling Vireo,0.6253,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Big Creek Control\ARU_9515 (Site 2)\12338937_20230604_YellowRail2023 [+51.84263-123.07118]\00009515_12338937_20230604T094000-0700_REC [+51.84263-123.07118].wav
BigCreekControl,2,9515,BARLT,20230604,09,66,69,Vireo gilvus,Warbling Vireo,0.5576,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Big Creek Control\ARU_9515 (Site 2)\12338937_20230604_YellowRail2023 [+51.84263-123.07118]\00009515_12338937_20230604T094000-0700_REC [+51.84263-123.07118].wav
BigCreekControl,2,9515,BARLT,20230604,09,129,132,Vireo gilvus,Warbling Vireo,0.6,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Big Creek Control\ARU_9515 (Site 2)\12338937_20230604_YellowRail2023 [+51.84263-123.07118]\00009515_12338937_20230604T094000-0700_REC [+51.84263-123.07118].wav
