site,location,aru_id,type,date,hour,start,end,scientific_name,common_name,confidence,filepath
LilypadLake,2,7836,Mini,20230605,08,129,132,Myiarchus crinitus,Great Crested Flycatcher,0.5599,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_2\Lilypad Lake\ARU_7836 (Site 2)\Data\RCH1_20230605_083000.wav
LilypadLake,2,7836,Mini,20230606,01,36,39,Porzana carolina,Sora,0.52,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_2\Lilypad Lake\ARU_7836 (Site 2)\Data\RCH1_20230606_013000.wav
LilypadLake,2,7836,Mini,20230606,02,0,3,Porzana carolina,Sora,0.8046,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_2\Lilypad Lake\ARU_7836 (Site 2)\Data\RCH1_20230606_020000.wav
LilypadLake,2,7836,Mini,20230606,02,21,24,Porzana carolina,Sora,0.9271,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_2\Lilypad Lake\ARU_7836 (Site 2)\Data\RCH1_20230606_020000.wav
LilypadLake,2,7836,Mini,20230606,02,24,27,Porzana carolina,Sora,0.8315,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_2\Lilypad Lake\ARU_7836 (Site 2)\Data\RCH1_20230606_020000.wav
LilypadLake,2,7836,Mini,20230606,02,39,42,Porzana carolina,Sora,0.9488,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_2\Lilypad Lake\ARU_7836 (Site 2)\Data\RCH1_20230606_020000.wav
LilypadLake,2,7836,Mini,20230606,02,42,45,Porzana carolina,Sora,0.9856,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_2\Lilypad Lake\ARU_7836 (Site 2)\Data\RCH1_20230606_020000.wav
LilypadLake,2,7836,Mini,20230606,02,45,48,Porzana carolina,Sora,0.9299,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_2\Lilypad Lake\ARU_7836 (Site 2)\Data\RCH1_20230606_020000.wav
LilypadLake,2,7836,Mini,20230606,02,54,57,Porzana carolina,Sora,0.6255,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_2\Lilypad Lake\ARU_7836 (Site 2)\Data\RCH1_20230606_020000.wav
LilypadLake,2,7836,Mini,20230606,02,96,99,Porzana carolina,Sora,0.9783,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_2\Lilypad Lake\ARU_7836 (Site 2)\Data\RCH1_20230606_020000.wav
LilypadLake,2,7836,Mini,20230606,02,105,108,Porzana carolina,Sora,0.6747,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_2\Lilypad Lake\ARU_7836 (Site 2)\Data\RCH1_20230606_020000.wav
LilypadLake,2,7836,Mini,20230606,02,216,219,Porzana carolina,Sora,0.7121,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_2\Lilypad Lake\ARU_7836 (Site 2)\Data\RCH1_20230606_020000.wav
LilypadLake,2,7836,Mini,20230606,02,228,231,Porzana carolina,Sora,0.6219,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_2\Lilypad Lake\ARU_7836 (Site 2)\Data\RCH1_20230606_020000.wav
LilypadLake,2,7836,Mini,20230606,02,231,234,Porzana carolina,Sora,0.9473,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_2\Lilypad Lake\ARU_7836 (Site 2)\Data\RCH1_20230606_020000.wav
