site,location,aru_id,type,date,hour,start,end,scientific_name,common_name,confidence,filepath
TattonLake,1,6705,Mini,NA,NA,0,3,Chordeiles minor,Common Nighthawk,0.9946,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Tatton Lake\ARU_6705 (Site 1)\Data\RCH2_20230604_221500.wav
TattonLake,1,6705,Mini,NA,NA,3,6,Chordeiles minor,Common Nighthawk,0.9564,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Tatton Lake\ARU_6705 (Site 1)\Data\RCH2_20230604_221500.wav
TattonLake,1,6705,Mini,NA,NA,6,9,Chordeiles minor,Common Nighthawk,0.9537,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Tatton Lake\ARU_6705 (Site 1)\Data\RCH2_20230604_221500.wav
TattonLake,1,6705,Mini,NA,NA,9,12,Chordeiles minor,Common Nighthawk,0.952,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Tatton Lake\ARU_6705 (Site 1)\Data\RCH2_20230604_221500.wav
TattonLake,1,6705,Mini,NA,NA,12,15,Chordeiles minor,Common Nighthawk,0.8928,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Tatton Lake\ARU_6705 (Site 1)\Data\RCH2_20230604_221500.wav
TattonLake,1,6705,Mini,NA,NA,15,18,Chordeiles minor,Common Nighthawk,0.9933,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Tatton Lake\ARU_6705 (Site 1)\Data\RCH2_20230604_221500.wav
TattonLake,1,6705,Mini,NA,NA,21,24,Chordeiles minor,Common Nighthawk,0.5944,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Tatton Lake\ARU_6705 (Site 1)\Data\RCH2_20230604_221500.wav
TattonLake,1,6705,Mini,NA,NA,261,264,Porzana carolina,Sora,0.6328,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Tatton Lake\ARU_6705 (Site 1)\Data\RCH2_20230604_223000.wav
TattonLake,1,6705,Mini,NA,NA,72,75,Podilymbus podiceps,Pied-billed Grebe,0.6327,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Tatton Lake\ARU_6705 (Site 1)\Data\RCH2_20230604_224500.wav
TattonLake,1,6705,Mini,NA,NA,18,21,Porzana carolina,Sora,0.9482,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Tatton Lake\ARU_6705 (Site 1)\Data\RCH2_20230604_233000.wav
