site,location,aru_id,type,date,hour,start,end,scientific_name,common_name,confidence,filepath
WatsonCreek,2,7759,Mini,20230604,08,243,246,Vireo gilvus,Warbling Vireo,0.7351,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_084500.wav
WatsonCreek,2,7759,Mini,20230604,08,249,252,Vireo gilvus,Warbling Vireo,0.5476,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_084500.wav
WatsonCreek,2,7759,Mini,20230604,09,171,174,Vireo gilvus,Warbling Vireo,0.6868,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230604_091500.wav
WatsonCreek,2,7759,Mini,20230605,04,84,87,Vireo gilvus,Warbling Vireo,0.8184,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230605_044500.wav
WatsonCreek,2,7759,Mini,20230605,05,234,237,Vireo gilvus,Warbling Vireo,0.6473,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230605_053000.wav
WatsonCreek,2,7759,Mini,20230605,05,246,249,Vireo gilvus,Warbling Vireo,0.8026,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230605_053000.wav
WatsonCreek,2,7759,Mini,20230605,05,252,255,Vireo gilvus,Warbling Vireo,0.5878,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230605_053000.wav
WatsonCreek,2,7759,Mini,20230605,05,267,270,Vireo gilvus,Warbling Vireo,0.6354,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230605_053000.wav
WatsonCreek,2,7759,Mini,20230605,05,255,258,Vireo gilvus,Warbling Vireo,0.7351,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230605_054500.wav
WatsonCreek,2,7759,Mini,20230605,05,264,267,Vireo gilvus,Warbling Vireo,0.503,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230605_054500.wav
WatsonCreek,2,7759,Mini,20230605,06,279,282,Vireo gilvus,Warbling Vireo,0.6534,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230605_060000.wav
WatsonCreek,2,7759,Mini,20230605,07,81,84,Vireo gilvus,Warbling Vireo,0.5377,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230605_070000.wav
WatsonCreek,2,7759,Mini,20230605,07,99,102,Vireo gilvus,Warbling Vireo,0.5906,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230605_070000.wav
WatsonCreek,2,7759,Mini,20230605,07,159,162,Vireo gilvus,Warbling Vireo,0.7269,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230605_070000.wav
WatsonCreek,2,7759,Mini,20230605,07,120,123,Vireo gilvus,Warbling Vireo,0.684,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230605_073000.wav
WatsonCreek,2,7759,Mini,20230605,07,129,132,Vireo gilvus,Warbling Vireo,0.562,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230605_074500.wav
WatsonCreek,2,7759,Mini,20230605,22,63,66,Chordeiles minor,Common Nighthawk,0.6768,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230605_221500.wav
WatsonCreek,2,7759,Mini,20230605,22,15,18,Chordeiles minor,Common Nighthawk,0.6179,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230605_224500.wav
WatsonCreek,2,7759,Mini,20230605,22,30,33,Chordeiles minor,Common Nighthawk,0.9019,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230605_224500.wav
WatsonCreek,2,7759,Mini,20230605,23,168,171,Chordeiles minor,Common Nighthawk,0.6723,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230605_230000.wav
WatsonCreek,2,7759,Mini,20230605,23,237,240,Chordeiles minor,Common Nighthawk,0.784,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230605_230000.wav
WatsonCreek,2,7759,Mini,20230605,23,270,273,Chordeiles minor,Common Nighthawk,0.9267,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230605_230000.wav
WatsonCreek,2,7759,Mini,20230605,23,150,153,Porzana carolina,Sora,0.9607,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230605_233000.wav
WatsonCreek,2,7759,Mini,20230606,00,177,180,Porzana carolina,Sora,0.8237,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230606_003000.wav
WatsonCreek,2,7759,Mini,20230606,00,198,201,Porzana carolina,Sora,0.9303,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230606_003000.wav
WatsonCreek,2,7759,Mini,20230606,02,105,108,Chordeiles minor,Common Nighthawk,0.9252,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230606_023000.wav
WatsonCreek,2,7759,Mini,20230606,02,108,111,Chordeiles minor,Common Nighthawk,0.7582,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230606_023000.wav
WatsonCreek,2,7759,Mini,20230606,02,114,117,Chordeiles minor,Common Nighthawk,0.8877,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230606_023000.wav
WatsonCreek,2,7759,Mini,20230606,02,117,120,Chordeiles minor,Common Nighthawk,0.9619,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230606_023000.wav
WatsonCreek,2,7759,Mini,20230606,02,129,132,Chordeiles minor,Common Nighthawk,0.9731,G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_3\Watson Creek\ARU_7759 (Site 2)\Data\SMA07759_20230606_023000.wav
