filepath,start,end,scientific_name,common_name,confidence,lat,lon,week,overlap,sensitivity,min_conf,species_list,model
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Fiftynine Creek\ARU_8990 (Site 2)\20230617_YellowRail2023 [+51.23203-121.57835]\00008990_20230617T055000-0700_REC [+51.23203-121.57835].wav,15.0,18.0,Contopus cooperi,Olive-sided Flycatcher,0.8552,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Fiftynine Creek\ARU_8990 (Site 2)\20230617_YellowRail2023 [+51.23203-121.57835]\00008990_20230617T055000-0700_REC [+51.23203-121.57835].wav,21.0,24.0,Geothlypis trichas,Common Yellowthroat,0.5738,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Fiftynine Creek\ARU_8990 (Site 2)\20230617_YellowRail2023 [+51.23203-121.57835]\00008990_20230617T055000-0700_REC [+51.23203-121.57835].wav,39.0,42.0,Contopus cooperi,Olive-sided Flycatcher,0.9678,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Fiftynine Creek\ARU_8990 (Site 2)\20230617_YellowRail2023 [+51.23203-121.57835]\00008990_20230617T055000-0700_REC [+51.23203-121.57835].wav,57.0,60.0,Contopus cooperi,Olive-sided Flycatcher,0.8981,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Fiftynine Creek\ARU_8990 (Site 2)\20230617_YellowRail2023 [+51.23203-121.57835]\00008990_20230617T055000-0700_REC [+51.23203-121.57835].wav,72.0,75.0,Passerculus sandwichensis,Savannah Sparrow,0.6523,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Fiftynine Creek\ARU_8990 (Site 2)\20230617_YellowRail2023 [+51.23203-121.57835]\00008990_20230617T055000-0700_REC [+51.23203-121.57835].wav,78.0,81.0,Contopus cooperi,Olive-sided Flycatcher,0.8907,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Fiftynine Creek\ARU_8990 (Site 2)\20230617_YellowRail2023 [+51.23203-121.57835]\00008990_20230617T055000-0700_REC [+51.23203-121.57835].wav,90.0,93.0,Setophaga petechia,Yellow Warbler,0.5652,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Fiftynine Creek\ARU_8990 (Site 2)\20230617_YellowRail2023 [+51.23203-121.57835]\00008990_20230617T055000-0700_REC [+51.23203-121.57835].wav,102.0,105.0,Passerculus sandwichensis,Savannah Sparrow,0.5783,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Fiftynine Creek\ARU_8990 (Site 2)\20230617_YellowRail2023 [+51.23203-121.57835]\00008990_20230617T055000-0700_REC [+51.23203-121.57835].wav,114.0,117.0,Passerculus sandwichensis,Savannah Sparrow,0.5130,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Fiftynine Creek\ARU_8990 (Site 2)\20230617_YellowRail2023 [+51.23203-121.57835]\00008990_20230617T055000-0700_REC [+51.23203-121.57835].wav,117.0,120.0,Contopus cooperi,Olive-sided Flycatcher,0.9553,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
