filepath,start,end,scientific_name,common_name,confidence,lat,lon,week,overlap,sensitivity,min_conf,species_list,model
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Thaddus Lake\ARU_5976 (Site 2)\Data\20230613\nocturnal_random_selected\THADDUS2_20230613_034500.wav,0,3.0,Tyrannus tyrannus,Eastern Kingbird,0.9994,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Thaddus Lake\ARU_5976 (Site 2)\Data\20230613\nocturnal_random_selected\THADDUS2_20230613_034500.wav,6.0,9.0,Tyrannus tyrannus,Eastern Kingbird,0.9988,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Thaddus Lake\ARU_5976 (Site 2)\Data\20230613\nocturnal_random_selected\THADDUS2_20230613_034500.wav,9.0,12.0,Tyrannus tyrannus,Eastern Kingbird,0.9968,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Thaddus Lake\ARU_5976 (Site 2)\Data\20230613\nocturnal_random_selected\THADDUS2_20230613_034500.wav,12.0,15.0,Tyrannus tyrannus,Eastern Kingbird,0.9912,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Thaddus Lake\ARU_5976 (Site 2)\Data\20230613\nocturnal_random_selected\THADDUS2_20230613_034500.wav,15.0,18.0,Tyrannus tyrannus,Eastern Kingbird,0.9152,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Thaddus Lake\ARU_5976 (Site 2)\Data\20230613\nocturnal_random_selected\THADDUS2_20230613_034500.wav,18.0,21.0,Tyrannus tyrannus,Eastern Kingbird,0.9999,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Thaddus Lake\ARU_5976 (Site 2)\Data\20230613\nocturnal_random_selected\THADDUS2_20230613_034500.wav,21.0,24.0,Tyrannus tyrannus,Eastern Kingbird,0.9741,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Thaddus Lake\ARU_5976 (Site 2)\Data\20230613\nocturnal_random_selected\THADDUS2_20230613_034500.wav,24.0,27.0,Tyrannus tyrannus,Eastern Kingbird,0.9984,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Thaddus Lake\ARU_5976 (Site 2)\Data\20230613\nocturnal_random_selected\THADDUS2_20230613_034500.wav,27.0,30.0,Tyrannus tyrannus,Eastern Kingbird,0.9934,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Thaddus Lake\ARU_5976 (Site 2)\Data\20230613\nocturnal_random_selected\THADDUS2_20230613_034500.wav,30.0,33.0,Tyrannus tyrannus,Eastern Kingbird,0.9998,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Thaddus Lake\ARU_5976 (Site 2)\Data\20230613\nocturnal_random_selected\THADDUS2_20230613_034500.wav,33.0,36.0,Tyrannus tyrannus,Eastern Kingbird,0.9972,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Thaddus Lake\ARU_5976 (Site 2)\Data\20230613\nocturnal_random_selected\THADDUS2_20230613_034500.wav,36.0,39.0,Tyrannus tyrannus,Eastern Kingbird,0.9985,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Thaddus Lake\ARU_5976 (Site 2)\Data\20230613\nocturnal_random_selected\THADDUS2_20230613_034500.wav,39.0,42.0,Tyrannus tyrannus,Eastern Kingbird,0.9994,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Thaddus Lake\ARU_5976 (Site 2)\Data\20230613\nocturnal_random_selected\THADDUS2_20230613_034500.wav,42.0,45.0,Tyrannus tyrannus,Eastern Kingbird,0.7866,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Thaddus Lake\ARU_5976 (Site 2)\Data\20230613\nocturnal_random_selected\THADDUS2_20230613_034500.wav,45.0,48.0,Tyrannus tyrannus,Eastern Kingbird,0.9969,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Thaddus Lake\ARU_5976 (Site 2)\Data\20230613\nocturnal_random_selected\THADDUS2_20230613_034500.wav,48.0,51.0,Tyrannus tyrannus,Eastern Kingbird,0.9855,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Thaddus Lake\ARU_5976 (Site 2)\Data\20230613\nocturnal_random_selected\THADDUS2_20230613_034500.wav,51.0,54.0,Tyrannus tyrannus,Eastern Kingbird,0.9970,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Thaddus Lake\ARU_5976 (Site 2)\Data\20230613\nocturnal_random_selected\THADDUS2_20230613_034500.wav,54.0,57.0,Tyrannus tyrannus,Eastern Kingbird,0.9960,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Thaddus Lake\ARU_5976 (Site 2)\Data\20230613\nocturnal_random_selected\THADDUS2_20230613_034500.wav,57.0,60.0,Tyrannus tyrannus,Eastern Kingbird,0.9935,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Thaddus Lake\ARU_5976 (Site 2)\Data\20230613\nocturnal_random_selected\THADDUS2_20230613_034500.wav,60.0,63.0,Tyrannus tyrannus,Eastern Kingbird,0.9996,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Thaddus Lake\ARU_5976 (Site 2)\Data\20230613\nocturnal_random_selected\THADDUS2_20230613_034500.wav,63.0,66.0,Tyrannus tyrannus,Eastern Kingbird,0.9996,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Thaddus Lake\ARU_5976 (Site 2)\Data\20230613\nocturnal_random_selected\THADDUS2_20230613_034500.wav,66.0,69.0,Tyrannus tyrannus,Eastern Kingbird,0.9955,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Thaddus Lake\ARU_5976 (Site 2)\Data\20230613\nocturnal_random_selected\THADDUS2_20230613_034500.wav,69.0,72.0,Tyrannus tyrannus,Eastern Kingbird,0.9999,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Thaddus Lake\ARU_5976 (Site 2)\Data\20230613\nocturnal_random_selected\THADDUS2_20230613_034500.wav,72.0,75.0,Tyrannus tyrannus,Eastern Kingbird,0.9998,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Thaddus Lake\ARU_5976 (Site 2)\Data\20230613\nocturnal_random_selected\THADDUS2_20230613_034500.wav,78.0,81.0,Tyrannus tyrannus,Eastern Kingbird,0.9998,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Thaddus Lake\ARU_5976 (Site 2)\Data\20230613\nocturnal_random_selected\THADDUS2_20230613_034500.wav,81.0,84.0,Tyrannus tyrannus,Eastern Kingbird,0.9990,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Thaddus Lake\ARU_5976 (Site 2)\Data\20230613\nocturnal_random_selected\THADDUS2_20230613_034500.wav,84.0,87.0,Tyrannus tyrannus,Eastern Kingbird,0.9931,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Thaddus Lake\ARU_5976 (Site 2)\Data\20230613\nocturnal_random_selected\THADDUS2_20230613_034500.wav,87.0,90.0,Tyrannus tyrannus,Eastern Kingbird,0.9985,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
