filepath,start,end,scientific_name,common_name,confidence,lat,lon,week,overlap,sensitivity,min_conf,species_list,model
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\20230613\nocturnal_random_selected\WATSON2_20230613_031500.wav,0,3.0,Contopus sordidulus,Western Wood-Pewee,0.9246,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\20230613\nocturnal_random_selected\WATSON2_20230613_031500.wav,3.0,6.0,Contopus sordidulus,Western Wood-Pewee,0.6558,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\20230613\nocturnal_random_selected\WATSON2_20230613_031500.wav,6.0,9.0,Contopus sordidulus,Western Wood-Pewee,0.5159,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\20230613\nocturnal_random_selected\WATSON2_20230613_031500.wav,15.0,18.0,Contopus sordidulus,Western Wood-Pewee,0.6623,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\20230613\nocturnal_random_selected\WATSON2_20230613_031500.wav,24.0,27.0,Contopus sordidulus,Western Wood-Pewee,0.6561,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\20230613\nocturnal_random_selected\WATSON2_20230613_031500.wav,24.0,27.0,Empidonax oberholseri,Dusky Flycatcher,0.5356,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\20230613\nocturnal_random_selected\WATSON2_20230613_031500.wav,27.0,30.0,Contopus sordidulus,Western Wood-Pewee,0.8658,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\20230613\nocturnal_random_selected\WATSON2_20230613_031500.wav,33.0,36.0,Contopus sordidulus,Western Wood-Pewee,0.8152,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\20230613\nocturnal_random_selected\WATSON2_20230613_031500.wav,36.0,39.0,Contopus sordidulus,Western Wood-Pewee,0.6577,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Watson Creek\ARU_7759 (Site 2)\Data\20230613\nocturnal_random_selected\WATSON2_20230613_031500.wav,45.0,48.0,Contopus sordidulus,Western Wood-Pewee,0.7594,52.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
