filepath,start,end,scientific_name,common_name,confidence,lat,lon,week,overlap,sensitivity,min_conf,species_list,model
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Chilco Ranch\ARU_9807 (Site 1)\12338915_20230610_YellowRail2023 [+51.86264-123.03040]\00009807_12338915_20230610T062000-0700_REC [+51.86264-123.03040].wav,6.0,9.0,Passerculus sandwichensis,Savannah Sparrow,0.6231,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Chilco Ranch\ARU_9807 (Site 1)\12338915_20230610_YellowRail2023 [+51.86264-123.03040]\00009807_12338915_20230610T062000-0700_REC [+51.86264-123.03040].wav,9.0,12.0,Passerculus sandwichensis,Savannah Sparrow,0.8559,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Chilco Ranch\ARU_9807 (Site 1)\12338915_20230610_YellowRail2023 [+51.86264-123.03040]\00009807_12338915_20230610T062000-0700_REC [+51.86264-123.03040].wav,30.0,33.0,Passerculus sandwichensis,Savannah Sparrow,0.7280,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Chilco Ranch\ARU_9807 (Site 1)\12338915_20230610_YellowRail2023 [+51.86264-123.03040]\00009807_12338915_20230610T062000-0700_REC [+51.86264-123.03040].wav,33.0,36.0,Passerculus sandwichensis,Savannah Sparrow,0.7676,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Chilco Ranch\ARU_9807 (Site 1)\12338915_20230610_YellowRail2023 [+51.86264-123.03040]\00009807_12338915_20230610T062000-0700_REC [+51.86264-123.03040].wav,72.0,75.0,Passerculus sandwichensis,Savannah Sparrow,0.9337,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Chilco Ranch\ARU_9807 (Site 1)\12338915_20230610_YellowRail2023 [+51.86264-123.03040]\00009807_12338915_20230610T062000-0700_REC [+51.86264-123.03040].wav,87.0,90.0,Passerculus sandwichensis,Savannah Sparrow,0.6824,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Chilco Ranch\ARU_9807 (Site 1)\12338915_20230610_YellowRail2023 [+51.86264-123.03040]\00009807_12338915_20230610T062000-0700_REC [+51.86264-123.03040].wav,102.0,105.0,Passerculus sandwichensis,Savannah Sparrow,0.6122,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Chilco Ranch\ARU_9807 (Site 1)\12338915_20230610_YellowRail2023 [+51.86264-123.03040]\00009807_12338915_20230610T062000-0700_REC [+51.86264-123.03040].wav,117.0,120.0,Passerculus sandwichensis,Savannah Sparrow,0.9346,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Chilco Ranch\ARU_9807 (Site 1)\12338915_20230610_YellowRail2023 [+51.86264-123.03040]\00009807_12338915_20230610T062000-0700_REC [+51.86264-123.03040].wav,126.0,129.0,Passerculus sandwichensis,Savannah Sparrow,0.7589,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Chilco Ranch\ARU_9807 (Site 1)\12338915_20230610_YellowRail2023 [+51.86264-123.03040]\00009807_12338915_20230610T062000-0700_REC [+51.86264-123.03040].wav,129.0,132.0,Passerculus sandwichensis,Savannah Sparrow,0.5129,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
