filepath,start,end,scientific_name,common_name,confidence,lat,lon,week,overlap,sensitivity,min_conf,species_list,model
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Fiftynine Creek\ARU_9782 (Site 1)\20517635_20230621_YellowRail2023 [+51.23249-121.57449]\nocturnal_random_selected\FIFTYNINE1_20230621_035000.wav,27.0,30.0,Contopus cooperi,Olive-sided Flycatcher,0.6222,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Fiftynine Creek\ARU_9782 (Site 1)\20517635_20230621_YellowRail2023 [+51.23249-121.57449]\nocturnal_random_selected\FIFTYNINE1_20230621_035000.wav,36.0,39.0,Contopus cooperi,Olive-sided Flycatcher,0.7043,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Fiftynine Creek\ARU_9782 (Site 1)\20517635_20230621_YellowRail2023 [+51.23249-121.57449]\nocturnal_random_selected\FIFTYNINE1_20230621_035000.wav,57.0,60.0,Contopus cooperi,Olive-sided Flycatcher,0.6319,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Fiftynine Creek\ARU_9782 (Site 1)\20517635_20230621_YellowRail2023 [+51.23249-121.57449]\nocturnal_random_selected\FIFTYNINE1_20230621_035000.wav,66.0,69.0,Contopus cooperi,Olive-sided Flycatcher,0.5072,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Fiftynine Creek\ARU_9782 (Site 1)\20517635_20230621_YellowRail2023 [+51.23249-121.57449]\nocturnal_random_selected\FIFTYNINE1_20230621_035000.wav,72.0,75.0,Contopus cooperi,Olive-sided Flycatcher,0.5529,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Fiftynine Creek\ARU_9782 (Site 1)\20517635_20230621_YellowRail2023 [+51.23249-121.57449]\nocturnal_random_selected\FIFTYNINE1_20230621_035000.wav,105.0,108.0,Contopus cooperi,Olive-sided Flycatcher,0.7462,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Fiftynine Creek\ARU_9782 (Site 1)\20517635_20230621_YellowRail2023 [+51.23249-121.57449]\nocturnal_random_selected\FIFTYNINE1_20230621_035000.wav,111.0,114.0,Contopus cooperi,Olive-sided Flycatcher,0.5599,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Fiftynine Creek\ARU_9782 (Site 1)\20517635_20230621_YellowRail2023 [+51.23249-121.57449]\nocturnal_random_selected\FIFTYNINE1_20230621_035000.wav,120.0,123.0,Catharus ustulatus,Swainson's Thrush,0.5100,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Fiftynine Creek\ARU_9782 (Site 1)\20517635_20230621_YellowRail2023 [+51.23249-121.57449]\nocturnal_random_selected\FIFTYNINE1_20230621_035000.wav,135.0,138.0,Contopus cooperi,Olive-sided Flycatcher,0.5438,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Fiftynine Creek\ARU_9782 (Site 1)\20517635_20230621_YellowRail2023 [+51.23249-121.57449]\nocturnal_random_selected\FIFTYNINE1_20230621_035000.wav,138.0,141.0,Contopus cooperi,Olive-sided Flycatcher,0.6115,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
