filepath,start,end,scientific_name,common_name,confidence,lat,lon,week,overlap,sensitivity,min_conf,species_list,model
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Pete Kitchen Lake\ARU_9205 (Site 2)\13794225_20230618_YellowRail2023 [+51.79253-121.37726]\00009205_13794225_20230618T035000-0700_REC [+51.79253-121.37726].wav,3.0,6.0,Empidonax traillii,Willow Flycatcher,0.8371,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Pete Kitchen Lake\ARU_9205 (Site 2)\13794225_20230618_YellowRail2023 [+51.79253-121.37726]\00009205_13794225_20230618T035000-0700_REC [+51.79253-121.37726].wav,15.0,18.0,Fulica americana,American Coot,0.7460,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Pete Kitchen Lake\ARU_9205 (Site 2)\13794225_20230618_YellowRail2023 [+51.79253-121.37726]\00009205_13794225_20230618T035000-0700_REC [+51.79253-121.37726].wav,27.0,30.0,Gallinago delicata,Wilson's Snipe,0.7424,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Pete Kitchen Lake\ARU_9205 (Site 2)\13794225_20230618_YellowRail2023 [+51.79253-121.37726]\00009205_13794225_20230618T035000-0700_REC [+51.79253-121.37726].wav,30.0,33.0,Gallinago delicata,Wilson's Snipe,0.6334,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Pete Kitchen Lake\ARU_9205 (Site 2)\13794225_20230618_YellowRail2023 [+51.79253-121.37726]\00009205_13794225_20230618T035000-0700_REC [+51.79253-121.37726].wav,39.0,42.0,Gallinago delicata,Wilson's Snipe,0.5443,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Pete Kitchen Lake\ARU_9205 (Site 2)\13794225_20230618_YellowRail2023 [+51.79253-121.37726]\00009205_13794225_20230618T035000-0700_REC [+51.79253-121.37726].wav,48.0,51.0,Gallinago delicata,Wilson's Snipe,0.6183,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Pete Kitchen Lake\ARU_9205 (Site 2)\13794225_20230618_YellowRail2023 [+51.79253-121.37726]\00009205_13794225_20230618T035000-0700_REC [+51.79253-121.37726].wav,57.0,60.0,Gallinago delicata,Wilson's Snipe,0.6511,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Pete Kitchen Lake\ARU_9205 (Site 2)\13794225_20230618_YellowRail2023 [+51.79253-121.37726]\00009205_13794225_20230618T035000-0700_REC [+51.79253-121.37726].wav,69.0,72.0,Gallinago delicata,Wilson's Snipe,0.6588,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Pete Kitchen Lake\ARU_9205 (Site 2)\13794225_20230618_YellowRail2023 [+51.79253-121.37726]\00009205_13794225_20230618T035000-0700_REC [+51.79253-121.37726].wav,90.0,93.0,Gallinago delicata,Wilson's Snipe,0.5889,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\z_BirdNET GUI folder\Pete Kitchen Lake\ARU_9205 (Site 2)\13794225_20230618_YellowRail2023 [+51.79253-121.37726]\00009205_13794225_20230618T035000-0700_REC [+51.79253-121.37726].wav,108.0,111.0,Gallinago delicata,Wilson's Snipe,0.6585,53.0000,-122.0000,24,0,1.0,0.5,None,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
