filepath,start,end,scientific_name,common_name,confidence,lat,lon,week,overlap,sensitivity,min_conf,species_list,model
G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Big Creek Control\ARU_9089 (Site 1)\11455527_20230612_YellowRail2023 [+51.84539-123.07384]\00009089_11455527_20230612T053000-0700_REC [+51.84539-123.07384].wav,3.0,6.0,Parkesia noveboracensis,Northern Waterthrush,0.9631,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\684088f74cd800171d7d84116b36d9fc94d24255\focal_species_list_with_sci_name.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Big Creek Control\ARU_9089 (Site 1)\11455527_20230612_YellowRail2023 [+51.84539-123.07384]\00009089_11455527_20230612T053000-0700_REC [+51.84539-123.07384].wav,15.0,18.0,Parkesia noveboracensis,Northern Waterthrush,0.9820,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\684088f74cd800171d7d84116b36d9fc94d24255\focal_species_list_with_sci_name.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Big Creek Control\ARU_9089 (Site 1)\11455527_20230612_YellowRail2023 [+51.84539-123.07384]\00009089_11455527_20230612T053000-0700_REC [+51.84539-123.07384].wav,27.0,30.0,Parkesia noveboracensis,Northern Waterthrush,0.9508,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\684088f74cd800171d7d84116b36d9fc94d24255\focal_species_list_with_sci_name.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Big Creek Control\ARU_9089 (Site 1)\11455527_20230612_YellowRail2023 [+51.84539-123.07384]\00009089_11455527_20230612T053000-0700_REC [+51.84539-123.07384].wav,39.0,42.0,Parkesia noveboracensis,Northern Waterthrush,0.9367,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\684088f74cd800171d7d84116b36d9fc94d24255\focal_species_list_with_sci_name.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Big Creek Control\ARU_9089 (Site 1)\11455527_20230612_YellowRail2023 [+51.84539-123.07384]\00009089_11455527_20230612T053000-0700_REC [+51.84539-123.07384].wav,51.0,54.0,Parkesia noveboracensis,Northern Waterthrush,0.9395,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\684088f74cd800171d7d84116b36d9fc94d24255\focal_species_list_with_sci_name.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Big Creek Control\ARU_9089 (Site 1)\11455527_20230612_YellowRail2023 [+51.84539-123.07384]\00009089_11455527_20230612T053000-0700_REC [+51.84539-123.07384].wav,66.0,69.0,Parkesia noveboracensis,Northern Waterthrush,0.9680,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\684088f74cd800171d7d84116b36d9fc94d24255\focal_species_list_with_sci_name.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Big Creek Control\ARU_9089 (Site 1)\11455527_20230612_YellowRail2023 [+51.84539-123.07384]\00009089_11455527_20230612T053000-0700_REC [+51.84539-123.07384].wav,78.0,81.0,Parkesia noveboracensis,Northern Waterthrush,0.8716,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\684088f74cd800171d7d84116b36d9fc94d24255\focal_species_list_with_sci_name.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Big Creek Control\ARU_9089 (Site 1)\11455527_20230612_YellowRail2023 [+51.84539-123.07384]\00009089_11455527_20230612T053000-0700_REC [+51.84539-123.07384].wav,90.0,93.0,Parkesia noveboracensis,Northern Waterthrush,0.8738,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\684088f74cd800171d7d84116b36d9fc94d24255\focal_species_list_with_sci_name.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Big Creek Control\ARU_9089 (Site 1)\11455527_20230612_YellowRail2023 [+51.84539-123.07384]\00009089_11455527_20230612T053000-0700_REC [+51.84539-123.07384].wav,93.0,96.0,Parkesia noveboracensis,Northern Waterthrush,0.8426,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\684088f74cd800171d7d84116b36d9fc94d24255\focal_species_list_with_sci_name.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Big Creek Control\ARU_9089 (Site 1)\11455527_20230612_YellowRail2023 [+51.84539-123.07384]\00009089_11455527_20230612T053000-0700_REC [+51.84539-123.07384].wav,105.0,108.0,Parkesia noveboracensis,Northern Waterthrush,0.9551,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\684088f74cd800171d7d84116b36d9fc94d24255\focal_species_list_with_sci_name.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Big Creek Control\ARU_9089 (Site 1)\11455527_20230612_YellowRail2023 [+51.84539-123.07384]\00009089_11455527_20230612T053000-0700_REC [+51.84539-123.07384].wav,117.0,120.0,Parkesia noveboracensis,Northern Waterthrush,0.8172,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\684088f74cd800171d7d84116b36d9fc94d24255\focal_species_list_with_sci_name.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Big Creek Control\ARU_9089 (Site 1)\11455527_20230612_YellowRail2023 [+51.84539-123.07384]\00009089_11455527_20230612T053000-0700_REC [+51.84539-123.07384].wav,141.0,144.0,Parkesia noveboracensis,Northern Waterthrush,0.9449,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\684088f74cd800171d7d84116b36d9fc94d24255\focal_species_list_with_sci_name.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Big Creek Control\ARU_9089 (Site 1)\11455527_20230612_YellowRail2023 [+51.84539-123.07384]\00009089_11455527_20230612T053000-0700_REC [+51.84539-123.07384].wav,156.0,159.0,Parkesia noveboracensis,Northern Waterthrush,0.9031,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\684088f74cd800171d7d84116b36d9fc94d24255\focal_species_list_with_sci_name.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Big Creek Control\ARU_9089 (Site 1)\11455527_20230612_YellowRail2023 [+51.84539-123.07384]\00009089_11455527_20230612T053000-0700_REC [+51.84539-123.07384].wav,168.0,171.0,Parkesia noveboracensis,Northern Waterthrush,0.9185,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\684088f74cd800171d7d84116b36d9fc94d24255\focal_species_list_with_sci_name.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Big Creek Control\ARU_9089 (Site 1)\11455527_20230612_YellowRail2023 [+51.84539-123.07384]\00009089_11455527_20230612T053000-0700_REC [+51.84539-123.07384].wav,183.0,186.0,Parkesia noveboracensis,Northern Waterthrush,0.9854,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\684088f74cd800171d7d84116b36d9fc94d24255\focal_species_list_with_sci_name.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Big Creek Control\ARU_9089 (Site 1)\11455527_20230612_YellowRail2023 [+51.84539-123.07384]\00009089_11455527_20230612T053000-0700_REC [+51.84539-123.07384].wav,192.0,195.0,Parkesia noveboracensis,Northern Waterthrush,0.7988,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\684088f74cd800171d7d84116b36d9fc94d24255\focal_species_list_with_sci_name.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Big Creek Control\ARU_9089 (Site 1)\11455527_20230612_YellowRail2023 [+51.84539-123.07384]\00009089_11455527_20230612T053000-0700_REC [+51.84539-123.07384].wav,195.0,198.0,Parkesia noveboracensis,Northern Waterthrush,0.9891,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\684088f74cd800171d7d84116b36d9fc94d24255\focal_species_list_with_sci_name.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Big Creek Control\ARU_9089 (Site 1)\11455527_20230612_YellowRail2023 [+51.84539-123.07384]\00009089_11455527_20230612T053000-0700_REC [+51.84539-123.07384].wav,207.0,210.0,Parkesia noveboracensis,Northern Waterthrush,0.9967,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\684088f74cd800171d7d84116b36d9fc94d24255\focal_species_list_with_sci_name.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
G:\Chilcotin_Cariboo_ARU_2023\focal_analysis_4\Big Creek Control\ARU_9089 (Site 1)\11455527_20230612_YellowRail2023 [+51.84539-123.07384]\00009089_11455527_20230612T053000-0700_REC [+51.84539-123.07384].wav,255.0,258.0,Parkesia noveboracensis,Northern Waterthrush,0.7497,0.0000,0.0000,-1,0,1.0,0.5,C:\Users\sunny541.stu\AppData\Local\Temp\684088f74cd800171d7d84116b36d9fc94d24255\focal_species_list_with_sci_name.txt,BirdNET_GLOBAL_6K_V2.4_Model_FP32.tflite
